,choice,travel_dow,trip_purpose,hh_descr,gender,license,work_status,hh_vehicles,hh_size,hh_bikes,hh_income,education_level,distance,age,departure_time
CTGAN,0.14215679845567664,0.1048045179788395,0.1804532237715557,0.06430181415899294,0.055812067579007696,0.04965606631282271,0.19386365679442885,0.13283933843475015,0.14259172397096898,0.10056576249817484,0.16660282305533913,0.15585712861542045,-0.3231924895959608,38.77218164047288,1.5961448463510592
SGAN_OR_BO,0.12482926618639956,0.00576505809892458,0.08821449466109388,0.0514123269595419,0.02725988887306008,0.02929506116023564,0.06550560418260776,0.13043175953412467,0.13826185873922425,160.07587276044896,0.08647116985075032,0.0474312554265206,-2.9416072157161963,14.737595392878177,-0.12435470847801611
SGAN_OR_NO,0.3111532174741709,0.034324420351592444,0.25511127752402785,0.11025549040005067,0.04420171067111445,0.13785190972719655,0.4276902539179207,0.5260427659127442,0.44779886383956324,0.2836010518677943,0.18976551018279797,0.20130675041771906,-2.020553642910258,50.676729220864516,-0.12551372219737544
SGAN_OR_OD,0.11841171834541231,0.006392926844302593,0.0865352013411742,0.04825320785425691,0.026766025686195793,0.03102995823837973,0.06397814409618596,0.1356873080386427,0.13502726101776663,399.99541382681036,0.08364147482593332,0.04843392539230362,-3.1162106806140812,21.94414606834725,-0.246648339128555
SGAN_WI_BO,0.1275079642802076,0.005756862070967372,0.08353576222575043,0.036541334657466895,0.02686079961466803,0.020574239943865147,0.051955774964647095,0.10976717414992454,0.08963616028183063,0.05849475485625333,0.08426039195009838,0.029790236306619367,-2.4146464780670343,10.703944778010495,0.12112106059991135
SGAN_WI_NO,0.12389515395548123,0.005349879920319323,0.07742769246832149,0.03430368217351487,0.027717877662138624,0.03776844466520868,0.05662845656496596,0.10155938612093784,0.09320896715612303,0.04548262788534019,0.07782047982274443,0.04076948541676151,-2.632266472579417,13.974401808123801,-0.07246875478018566
SGAN_WI_OD,0.11797007765533263,0.005609697932399849,0.07958128049829027,0.032553191122518754,0.027213770740005305,0.020392505722927362,0.051053283356317314,0.10715374051027371,0.09030295785802955,0.055167305236393016,0.08307784119681871,0.03192033619891843,-2.5811143838043193,13.0960187937537,-0.02744234014978275
SGAN_WO_BO,0.1380014899037625,0.00450976957275917,0.07994539147130753,0.028913433553686252,0.030053642096007915,0.026294600427623577,0.04262121035198296,0.07935620929656784,0.072631531412653,0.025733286460304594,0.060123209210163786,0.03529649841494997,-3.350748265653351,11.938092884298001,-0.039213179697615175
SGAN_WO_NO,0.13242847870289332,0.005064503533884324,0.08231928976805869,0.027824138267208087,0.030190034137592248,0.03936110674749968,0.049937556850363385,0.07917368978554318,0.07094741801295956,0.02225703313813554,0.05680061127125002,0.041526415106201364,-3.2071935541295034,13.680476911121843,-0.11238939698958816
SGAN_WO_OD,0.13140806699991958,0.0045150618429974365,0.07923833124402058,0.02859987416365606,0.029658766508318668,0.02784727716131477,0.04232978020681388,0.07978853534584796,0.06941525286185024,0.02500476547840047,0.05941706128028912,0.03758642884963104,-3.1105253154623043,13.077351526710615,-0.09859119583890319
TGAN,0.149139683311726,0.023333579752960132,0.11669371297198028,0.04172302005257866,0.036134805612544674,0.026576276503165908,0.11826007337982813,0.11741935413417359,0.11810369975925405,80.0814862658409,0.08349665362220349,0.07920639476745484,-1.178321223796594,25.232555242272312,0.38473107414687746
WGAN_OR_BO,0.13074721386910837,0.00564519099582661,0.0974734478639161,0.0368771592573508,0.03362392536878234,0.032333838235385326,0.09147426361319677,0.12733376685176923,0.13333406835333783,0.047990433065770555,0.07418755295234547,0.0672649536855554,-2.9770365828423024,15.174259355334186,-0.3124146013048268
WGAN_OR_NO,0.3103381079074796,0.03493960743272595,0.25760467131089615,0.09370499545823152,0.044088968728832056,0.1189803023731894,0.4008398184824621,0.4875136307808279,0.4203719065588899,0.2842656755911259,0.17676321958181385,0.18780682708393748,-1.663325970046806,39.80811344827795,-0.12596377514799428
WGAN_OR_OD,0.13147838766750652,0.005715308350091597,0.09897848268756437,0.03778977086956803,0.03439968170091434,0.032335270113901776,0.09349165220836875,0.12895110445048563,0.1339029200720273,0.04971299036285193,0.07651739835727955,0.06873731876625566,-2.9174033369012236,16.08160335718476,-0.27154112429522215
WGAN_WI_BO,0.11874666104415754,0.00560924943263208,0.07269107677047626,0.028150169025101257,0.03191538825974183,0.028808122511322032,0.063578072059845,0.10876635671105095,0.08892770829494234,0.03516183763222491,0.05050635541852566,0.045582450596414636,-3.3315521035587565,13.6634552903666,-0.35822501306531507
WGAN_WI_NO,0.12562951977777947,0.004936279539643262,0.08692948791579114,0.028734887179166613,0.03377016789898857,0.03623413484077237,0.08213178748972527,0.10919078173204488,0.10031590909682009,0.030885000137242935,0.05654769811259097,0.06049572706476147,-3.338842973969726,14.5264592121151,-0.3065083766086829
WGAN_WI_OD,0.11928769230936842,0.005370515727037173,0.07563415658350525,0.028463336580630605,0.03212975149241526,0.029585038517504575,0.06716449157540982,0.10969398125970165,0.08997351440272416,0.03428279839113357,0.04988942001017005,0.045917840950702615,-3.4131824717185637,15.223435960394923,-0.34125586811119746
WGAN_WO_BO,4079.4721808044205,0.006405334919960204,0.09119628499042709,0.03699858984351245,0.0367028572508028,0.04388479951356489,0.10336365593640429,1999.765959301636,0.174745576446519,959.8894646619965,0.07535462336826004,0.06907205844187025,-2.4120124396459133,23.61780192210564,-0.3458461257925691
WGAN_WO_NO,0.18638260716916333,0.004965481358204071,0.11814938549572895,0.0454422114890084,0.03973546848063558,0.06615803534120776,0.14747203784711937,0.16759839053589465,0.158164414897768,0.05749442772196289,0.09407519919054907,0.10084037424546599,-2.4636056308564562,24.437356566530482,-0.23407654367062847
WGAN_WO_OD,3679.544932803195,0.006444079496171096,0.09271328385359667,0.03778276267339442,0.03751996743939667,0.04353411314564032,0.11275968453626073,1999.7668551673512,0.18182368317615427,959.8907300594385,0.07620258131715407,0.06927453382344351,-2.4945047260798745,25.32201955540434,-0.2793966851282974
WGGP_OR_BO,0.27133120053684834,0.034538238483477146,1679.7990265582723,0.07316742172959845,0.06059287446921491,0.11987754650414145,1679.9024207114453,0.2589388101561567,0.31007018978756984,80.24774513086903,0.21154861963427285,0.18545425167796004,3.1618839925662314,81.7332853181881,1.6966013312489139
WGGP_OR_NO,0.3648160755296398,0.035469754455702995,0.30114601465888713,0.09370334447044348,0.05032590686137706,0.2578589756215776,0.47082535311736196,0.5277289534301839,0.4718314937105842,0.2930439059538197,0.19301796070101473,0.2130537083950701,1.704628526047479,118.32840139741897,1.5940576149126855
WGGP_OR_OD,0.2651053127266785,0.03646153972570976,1999.6835643287563,0.07520924724035583,0.059011904891193456,0.11699327269671436,1999.7756735732842,0.2537638022932689,0.2510240526198039,560.0912323451539,0.19935683004874916,0.1883171513493782,1.8604423823545844,75.91084444571742,1.7172079484024145
