,choice,travel_dow,trip_purpose,hh_descr,gender,license,work_status,hh_vehicles,hh_size,hh_bikes,hh_income,education_level,distance,age,departure_time
CTGAN,0.14165843552502544,0.1012079117357092,0.1810670921596489,0.06555400856348348,0.05540673603503665,0.04987274127519786,0.1955238627157131,0.13743801824991642,0.14267916559227267,0.09675603456715187,0.16817460167301124,0.15521913903528906,-0.3199342455499803,37.91337281154303,1.6077057775332264
SGAN_OR_BO,0.18995814861847382,0.006328873860293571,0.12534583681312017,0.06790990228189808,0.06731614102271288,0.02926896213488589,0.10442296241586213,0.1841756750186676,0.18712348909698473,0.11461464052653314,0.1704996091530424,0.06536931600484297,-0.02497400281240658,16.442738043607918,0.7194213727208982
SGAN_OR_NO,0.3033409654989797,0.03312089249110506,0.25004202481283655,0.09796714661933148,0.04204672417350952,0.12225270527973175,0.3692672396948312,0.47984850187918404,0.4023447194913786,0.2736998806205846,0.1751553421408767,0.17557450786876472,-1.7407923241154677,41.39808508028911,0.16587483479845133
SGAN_OR_OD,0.17584775508422013,0.006203762386166378,0.12020045745447838,0.06593139289017336,0.06503717958236721,0.0309541311446426,0.09546097058420877,0.18232205972407622,0.18011779250299498,0.11547340585818189,0.17431872219955502,0.06763810186908592,-0.7894308838735853,16.36311737658488,0.39723338101929784
SGAN_WI_BO,0.16421110030085972,0.005602909001149126,0.08888456955590973,0.07476420864305955,0.062409906164746065,0.024131460632541152,0.09156495753718741,0.1537666122495478,0.17813763290670048,0.1474887235248521,0.18806568294688653,0.12657799466396535,-1.4067571438168613,14.50499398282129,0.5910922561957364
SGAN_WI_NO,0.14978693501338913,0.005544478758078508,0.08212839483339529,0.06169459677353495,0.049994250902398285,0.03160445854517721,0.0839748785755694,0.1294462598100713,0.15412218779636333,0.11508401641871391,0.14905931951586826,0.10523171713141322,-2.182268010674555,16.590236874878897,0.2905378014951516
SGAN_WI_OD,0.1593135478897324,0.005495434263981469,0.08247123530974165,0.07294064675662015,0.059401867646058926,0.024404739299910883,0.09063246928847324,0.15429972667750613,0.17524220438478666,0.14149683506854482,0.179900995940818,0.1282720424568764,-1.6849728407069406,16.267637175081703,0.4670853420681844
SGAN_WO_BO,0.1733626415926669,0.005278175984615219,0.10388554165406783,0.05146168368471793,0.054528048407537,0.02655877202654583,0.07225911041316646,0.1254256047985557,0.1369828030049457,0.09767588806462224,0.13907000526853852,0.09752572622154343,-2.8297939431711328,18.166740376933546,-0.4729234665439712
SGAN_WO_NO,0.15840567648956805,0.004927942300283483,0.09647148676506045,0.044472382420168044,0.04644302670498757,0.035798645372386306,0.06480302094000934,0.11591747917992579,0.1248212366062863,0.07576843010159395,0.11379091869070335,0.08595739056505702,-3.00104021030905,19.120343789113633,-0.47002579463508454
SGAN_WO_OD,0.16675873318031154,0.004982956311951003,0.10154994222347913,0.05407030713974981,0.05296696793509825,0.028485627984266654,0.07527878776062324,0.12350921185572306,0.13243278616574472,0.09706576742389883,0.13555586973768818,0.0968461778359675,-2.9497518172999335,18.82709664043827,-0.45448062440697257
